nom;prenom;adresse;telephone;typeLocataire;typeUnites;coteCredit
Marima;Florent;1416 De la Providence Avenue;(204)728-9805;actuel;commercial;646
Cochse;Janele;1110 rue des Églises Est;(519)491-3243;actuel;résidentiel;657
Corinder;Adrian;4869 Richford Road;(450)295-8207;actuel;commercial;692
Naom;Kynaston;2371 rue Saint-Charles;(705)230-3511;actuel;résidentiel;787
Alexndrea;Jiang;4336 Scarth Street;(807)624-3348;actuel;résidentiel;763
KylaRi;Ritchie;1961 De L'Acadie Boul;(902)657-9489;actuel;résidentiel;682
Thani;Alayna;1320 rue Saint-Antoine;(250)581-7427;actuel;commercial;715
Ibraima;Corentin;3368 avenue de Port-Royal;(819)893-8449;actuel;commercial;812
Tochkwu;Uhuru;1465 St Jean Baptiste St;(587)790-2287;potentiel;commercial;775
Truean;Claude;4756 rue Levy;(778)658-9627;potentiel;résidentiel;758
Tod en;Benjamin;228 Ste. Catherine Ouest;(306)860-3804;potentiel;résidentiel;718
Teal;Umar;2048 rue Garneau;(780)669-3279;potentiel;résidentiel;811
Melia;Leanora;1650 Rue De La Gare;(905)999-7353;potentiel;résidentiel;692
RosaLi;Lilibet;1358 René-Lévesque Blvd;(902)214-6621;potentiel;commercial;733
Rufu;Ejike;504 chemin Georges;(204)483-7514;potentiel;résidentiel;738
